Away Result,Home Team,Team Away,Home Result,Date
0,Benfica,Vitória Guimarães,5,2017 MAY
1,Feirense,Sporting Lisbon,2,2017 MAY
1,Belenenses,Moreirense,1,2017 MAY
1,Estoril Praia,GD Chaves,2,2017 MAY
3,Sporting Lisbon,Belenenses,1,2017 MAY
2,Estoril Praia,Rio Ave,0,2017 MAR
0,Paços de Ferreira,Tondela,0,2017 MAR
0,Marítimo,Vitória Setúbal,1,2017 MAR
1,Belenenses,GD Chaves,2,2017 MAR
1,Sporting Lisbon,Vitória Guimarães,1,2017 MAR
1,Sporting Braga,Arouca,3,2017 MAR
0,FC Porto,CD Nacional,7,2017 MAR
0,Estoril Praia,Sporting Lisbon,2,2018 FEB
2,Vitória Guimarães,Paços de Ferreira,3,2018 FEB
1,Benfica,Rio Ave,5,2018 FEB
1,FC Porto,Sporting Braga,3,2018 FEB
2,Vitória Setúbal,Vitória Guimarães,0,2017 APR
0,Moreirense,GD Chaves,0,2017 APR
1,Paços de Ferreira,Sporting Braga,3,2017 APR
0,Vitória Guimarães,Boavista,2,2017 APR
0,FC Porto,Feirense,0,2017 APR
0,Marítimo,Belenenses,3,2017 APR
1,Tondela,Vitória Setúbal,2,2017 MAY
0,Vitória Guimarães,Arouca,1,2017 MAY
1,Rio Ave,Benfica,0,2017 MAY
2,Boavista,CD Nacional,2,2017 MAY
1,Paços de Ferreira,Feirense,0,2017 MAY
1,Marítimo,FC Porto,1,2017 MAY
1,Feirense,Benfica,0,2017 MAR
0,Moreirense,Boavista,0,2017 MAR
0,Tondela,CD Nacional,2,2017 APR
0,Estoril Praia,Vitória Setúbal,3,2017 APR
1,Sporting Lisbon,Benfica,1,2017 APR
0,Rio Ave,Arouca,3,2017 APR
1,CD Nacional,Moreirense,0,2017 APR
0,Arouca,Feirense,2,2017 APR
3,GD Chaves,Vitória Guimarães,2,2017 APR
1,Moreirense,Sporting Braga,2,2017 MAY
1,Tondela,Rio Ave,2,2017 APR
1,Sporting Braga,FC Porto,1,2017 APR
3,Belenenses,Estoril Praia,1,2017 APR
0,Boavista,Paços de Ferreira,0,2017 APR
